source,title,checked,missing_images
メインストーリー,シリウス 第 1 章 第 5 話 本当の、自分？,0,0
メインストーリー,劇団電姫 第 1 章 第 4 話 電姫たち,1,0
メインストーリー,劇団電姫 第 1 章 第 5 話 東上野高校の三年生たち,1,0
メインストーリー,劇団電姫 第 1 章 第 6 話 電姫のエース,1,0
メインストーリー,劇団電姫 第 1 章 第 7 話 旅のはじまり,1,0
メインストーリー,劇団電姫 第 1 章 第 8 話 カミラ,1,0
メインストーリー,劇団電姫 第 1 章 第 9 話 群雄割拠,1,0
メインストーリー,劇団電姫 第 1 章 第 11 話 紡がれる絆、そして,1,0
メインストーリー,劇団電姫 第 1 章 第 12 話 電姫の歴史,1,0
メインストーリー,劇団電姫 第 1 章 第 13 話 自分の居場所,1,0
メインストーリー,劇団電姫 第 1 章 第 14 話 決断,1,0
メインストーリー,劇団電姫 第 1 章 第 17 話 叶羽の努力,1,0
メインストーリー,劇団電姫 第 1 章 第 18 話 変わる運命,1,0
メインストーリー,劇団電姫 第 1 章 第 19 話 電子の姫たち,1,0
メインストーリー,劇団電姫 第 1 章 第 20 話 ようこそ電姫へ,1,0
メインストーリー,劇団電姫 第 2 章 第 1 話 ブレない人たち,1,0
メインストーリー,劇団電姫 第 2 章 第 2 話 謎の少女,1,0
メインストーリー,劇団電姫 第 2 章 第 3 話 オリンポスの未来,1,0
メインストーリー,劇団電姫 第 2 章 第 4 話 叶羽、絶好調,1,0
メインストーリー,劇団電姫 第 2 章 第 6 話 不思議の国のアリス,1,0
メインストーリー,劇団電姫 第 2 章 第 8 話 電姫の先輩,1,0
メインストーリー,劇団電姫 第 2 章 第 10 話 狛江地歩（中編）,1,0
メインストーリー,劇団電姫 第 2 章 第 11 話 狛江地歩（後編）,1,0
メインストーリー,劇団電姫 第 2 章 第 12 話 傷ついた羽根,1,0
メインストーリー,劇団電姫 第 2 章 第 16 話 舞い上がる羽根,1,0
メインストーリー,劇団電姫 第 2 章 第 17 話 湧き上がる力,1,0
メインストーリー,劇団電姫 第 2 章 第 18 話 ワンダーランド,1,0
メインストーリー,劇団電姫 第 2 章 第 19 話 私の光,1,0
イベントストーリー,エレクトリック・サマー・バカンス 第 1 話 海行こー！,0,0
イベントストーリー,エレクトリック・サマー・バカンス 第 2 話 水着選びのお姫様,0,0
イベントストーリー,エレクトリック・サマー・バカンス 第 3 話 海水浴、当日！,0,0
イベントストーリー,エレクトリック・サマー・バカンス 第 4 話 蕾、開花,0,0
イベントストーリー,エレクトリック・サマー・バカンス 第 5 話 解放されし、真の姿,0,0
イベントストーリー,エレクトリック・サマー・バカンス 第 6 話 記念撮影♪,0,0
イベントストーリー,エレクトリック・サマー・バカンス 第 7 話 楽しい日はまだ続く,0,0
イベントストーリー,エレクトリック・サマー・バカンス 第 8 話 夜、電車、お話,0,0
イベントストーリー,脚光が照らすこれから 第 7 話 白丸美兎の現在,0,0
イベントストーリー,脚光が照らすこれから 第 8 話 白丸美兎のこれから,0,0
イベントストーリー,マジカルガール☆ハロウィン 第 1 話 特別なイベント,0,0
イベントストーリー,マジカルガール☆ハロウィン 第 2 話 このメンバーで,0,0
イベントストーリー,マジカルガール☆ハロウィン 第 3 話 ヒートアップ,0,0
イベントストーリー,マジカルガール☆ハロウィン 第 4 話 ５人じゃないと,0,0
イベントストーリー,マジカルガール☆ハロウィン 第 5 話 熱くなる理由,0,0
イベントストーリー,マジカルガール☆ハロウィン 第 6 話 コンテスト当日,0,0
イベントストーリー,マジカルガール☆ハロウィン 第 7 話 全力で,0,0
イベントストーリー,マジカルガール☆ハロウィン 第 8 話 みんながいたから,0,0
イベントストーリー,ギャルからオタクに転身してみた件 第 1 話 異世界人,0,0
イベントストーリー,ギャルからオタクに転身してみた件 第 5 話 転生者,0,0
イベントストーリー,ギャルからオタクに転身してみた件 第 6 話 一挙上映会！,0,0
イベントストーリー,ギャルからオタクに転身してみた件 第 7 話 ちょっとだけ進化,0,0
イベントストーリー,トロイメライと悪魔 第 1 話 天上の序曲,0,0
イベントストーリー,トロイメライと悪魔 第 2 話 天才学者と悪魔,0,0
イベントストーリー,トロイメライと悪魔 第 3 話 悪魔との契約,0,0
イベントストーリー,トロイメライと悪魔 第 5 話 悪魔の証明,0,0
イベントストーリー,トロイメライと悪魔 第 6 話 神はサイコロを,0,0
イベントストーリー,トロイメライと悪魔 第 7 話 時よとまれ,0,0
イベントストーリー,トロイメライと悪魔 第 8 話 機械仕掛けの神様,0,0
イベントストーリー,反逆、すべては目指す舞台のために 第 1 話 夢の舞台を,0,0
イベントストーリー,反逆、すべては目指す舞台のために 第 2 話 大好きな役,0,0
イベントストーリー,反逆、すべては目指す舞台のために 第 3 話 ハードル,0,0
イベントストーリー,反逆、すべては目指す舞台のために 第 4 話 大丈夫,0,0
イベントストーリー,反逆、すべては目指す舞台のために 第 5 話 進むしかない,0,0
イベントストーリー,反逆、すべては目指す舞台のために 第 7 話 一緒,0,0
イベントストーリー,反逆、すべては目指す舞台のために 第 8 話 電姫のコードギアス,0,0
イベントストーリー,†迎春†　猫と烏の協奏曲 第 1 話 波長の合うふたり,0,0
イベントストーリー,†迎春†　猫と烏の協奏曲 第 2 話 年の暮れのご挨拶,0,0
イベントストーリー,†迎春†　猫と烏の協奏曲 第 3 話 巫女修行,0,0
イベントストーリー,†迎春†　猫と烏の協奏曲 第 4 話 這い寄る邪念,0,0
イベントストーリー,†迎春†　猫と烏の協奏曲 第 5 話 破ァッ！,0,0
イベントストーリー,†迎春†　猫と烏の協奏曲 第 6 話 破・邪・顕・正,0,0
イベントストーリー,†迎春†　猫と烏の協奏曲 第 7 話 電子の姫と楽園の子ら,0,0
イベントストーリー,†迎春†　猫と烏の協奏曲 第 8 話 充実した一日,0,0
サイドストーリー,【劇団電姫】猫足蕾 — 前編,1,0
サイドストーリー,【劇団電姫】猫足蕾 — 後編,1,0
サイドストーリー,【オタクでお嬢様】千寿いろは — 前編,0,0
サイドストーリー,【内気な孝行娘】白丸美兎 — 前編,0,0
サイドストーリー,【電姫の占い師】猫足蕾 — 前編,1,0
サイドストーリー,【電姫の占い師】猫足蕾 — 後編,1,0
サイドストーリー,【新作お菓子レビュー】阿岐留カミラ — 前編,0,0
サイドストーリー,【新作お菓子レビュー】阿岐留カミラ — 後編,0,0
サイドストーリー,【悪鬼退散っ！】猫足蕾 — 前編,1,0
サイドストーリー,【悪鬼退散っ！】猫足蕾 — 後編,1,0
サイドストーリー,【最後はBBQ！】千寿いろは — 前編,0,0
サイドストーリー,【最後はBBQ！】千寿いろは — 後編,0,0
サイドストーリー,【水晶玉に映る未来】猫足蕾 — 前編,1,0
サイドストーリー,【水晶玉に映る未来】猫足蕾 — 後編,1,0
サイドストーリー,【みんなが大切だからこそ】白丸美兎 — 前編,0,0
サイドストーリー,【みんなが大切だからこそ】白丸美兎 — 後編,0,0
サイドストーリー,【踏みにじられた者の怒り】猫足蕾 — 前編,1,0
サイドストーリー,【踏みにじられた者の怒り】猫足蕾 — 後編,1,0
サイドストーリー,【フラワー・テンペスト】本巣叶羽 — 前編,0,0
サイドストーリー,【フラワー・テンペスト】本巣叶羽 — 後編,0,0
サイドストーリー,【お団子と放課後と】千寿いろは — 前編,0,0
サイドストーリー,【お団子と放課後と】千寿いろは — 後編,0,0
サイドストーリー,【世界が色づくその瞬間】白丸美兎 — 前編,0,0
サイドストーリー,【世界が色づくその瞬間】白丸美兎 — 後編,0,0
サイドストーリー,【月下の神秘】本巣叶羽 — 前編,0,0
サイドストーリー,【追想の帰路】猫足蕾 — 前編,1,1
サイドストーリー,【追想の帰路】猫足蕾 — 後編,1,1
サイドストーリー,【茜海に満たされて】阿岐留カミラ — 前編,0,0
サイドストーリー,【移りゆく世界の中で】千寿いろは — 前編,0,0
サイドストーリー,【真の力を見せる時！】千寿いろは — 後編,0,0
サイドストーリー,【戦い続ける魔法少女】猫足蕾 — 前編,1,0
サイドストーリー,【戦い続ける魔法少女】猫足蕾 — 後編,1,0
サイドストーリー,【夕暮れ時には甘えてみて】本巣叶羽 — 前編,0,0
サイドストーリー,【夕暮れ時には甘えてみて】本巣叶羽 — 後編,0,0
サイドストーリー,【Electric Wonderland】本巣叶羽 — 前編,0,0
サイドストーリー,【Electric Wonderland】本巣叶羽 — 後編,0,0
サイドストーリー,【Electric Tea Party】千寿いろは — 前編,0,0
サイドストーリー,【華は海底に眠る】猫足蕾 — 前編,1,0
サイドストーリー,【華は海底に眠る】猫足蕾 — 後編,1,0
サイドストーリー,【武の頂を目指して】白丸美兎 — 前編,0,0
サイドストーリー,【武の頂を目指して】白丸美兎 — 後編,0,0
サイドストーリー,【白き死神は戦場を駆け】白丸美兎 — 前編,0,0
サイドストーリー,【春の紫苑も良いでしょう？】阿岐留カミラ — 前編,0,0
サイドストーリー,【春の紫苑も良いでしょう？】阿岐留カミラ — 後編,0,0
サイドストーリー,【朱の菜花は春を告げ】白丸美兎 — 後編,0,0
サイドストーリー,【デンキウィズザ……！？】猫足蕾 — 前編,1,1
サイドストーリー,【デンキウィズザ……！？】猫足蕾 — 後編,1,1
サイドストーリー,【デンキインザムーーーーーン】本巣叶羽 — 前編,0,0
サイドストーリー,【デンキインザムーーーーーン】本巣叶羽 — 後編,0,0
サイドストーリー,【慶賀へ至る富正月】猫足蕾 — 前編,0,0
サイドストーリー,【慶賀へ至る富正月】猫足蕾 — 後編,0,0
スポットストーリー,歌川高等学校 猫足蕾、鳳ここな 「ふむ……なるほど。」,1,0
スポットストーリー,歌川高等学校 猫足蕾、新妻八恵 「新妻、噂によると君…」,1,0
スポットストーリー,歌川高等学校 猫足蕾、カトリナ・グリーベル 「ふむふむ……ほう……」,1,0
スポットストーリー,歌川高等学校 猫足蕾、与那国緋花里、舎人仁花子 「蕾さん、今日も占っ…」,1,0
スポットストーリー,東上野高校 猫足蕾 「…………よし、奴等…」,1,0
スポットストーリー,東上野高校 猫足蕾、千寿いろは 「どうした、ずいぶん…」,1,0
スポットストーリー,東上野高校 猫足蕾、阿岐留カミラ 「ふむ、今日の運勢……」,1,0
スポットストーリー,東上野高校 猫足蕾、千寿暦 「ふむ……こうして見…」,1,0
スポットストーリー,東上野高校 猫足蕾、ラモーナ・ウォルフ 「むっ……！？」,1,0
スポットストーリー,東上野高校 王雪、猫足蕾 「雪よ、占いの結果、…」,1,0
スポットストーリー,東上野高校 リリヤ・クルトベイ、猫足蕾 「くっ……！　ここも…」,1,0
スポットストーリー,東上野高校 千寿いろは、白丸美兎、猫足蕾 「きょ、今日、小テス…」,1,0
スポットストーリー,東上野高校 千寿いろは、阿岐留カミラ、猫足蕾 「聞いたよ、先輩～。」,1,0
スポットストーリー,東上野高校 猫足蕾、千寿暦、ラモーナ・ウォルフ 「……蕾、何を書いて…」,1,0
スポットストーリー,東上野高校 猫足蕾、烏森大黒、連尺野初魅 「大黒じゃないか。」,1,0
スポットストーリー,公園 猫足蕾 「嫌な風が吹いてきた…」,1,0
スポットストーリー,公園 猫足蕾、白丸美兎 「くっ……！」,1,0
スポットストーリー,公園 猫足蕾、王雪 「ふう。一休みしたし…」,1,0
スポットストーリー,公園 猫足蕾、リリヤ・クルトベイ 「はっ、あれは黒き体…」,1,0
スポットストーリー,公園 ラモーナ・ウォルフ、猫足蕾 「お、いたいた！」,1,0
スポットストーリー,公園 与那国緋花里、猫足蕾 「ふむ……今日の与那…」,1,0
スポットストーリー,公園 白丸美兎、猫足蕾、本巣叶羽 「ここがアタシのおす…」,1,0
スポットストーリー,公園 猫足蕾、烏森大黒、ラモーナ・ウォルフ 「おい、蕾。こんな所…」,1,0
スポットストーリー,カフェ 猫足蕾 「いつもの術式に、こ…」,1,0
スポットストーリー,カフェ 烏森大黒、猫足蕾 「同志は未来を自分で…」,1,0
スポットストーリー,カフェ 筆島しぐれ、猫足蕾 「筆島、今日は運勢が…」,1,0
スポットストーリー,カフェ 猫足蕾、連尺野初魅 「おや、蕾ではないか。」,1,0
スポットストーリー,カフェ 猫足蕾、舎人仁花子 「猫足さん、ずっと気…」,1,0
スポットストーリー,カフェ 猫足蕾、萬容 「萬、もうそのあたり…」,1,0
スポットストーリー,カフェ 阿岐留カミラ、猫足蕾、本巣叶羽 「阿岐留の今日の運勢…」,1,0
スポットストーリー,カフェ 萬容、猫足蕾、王雪 「ツモ！　いやぁ～…」,1,0
スポットストーリー,電気街 猫足蕾 「どうやら、上手く奴…」,1,0
スポットストーリー,電気街 鳳ここな、猫足蕾 「蕾さん、こんにちは！」,1,0
スポットストーリー,電気街 静香、猫足蕾 「静香、君は可能性の…」,1,0
スポットストーリー,電気街 新妻八恵、猫足蕾 「静謐なる神聖な乙女…」,1,0
スポットストーリー,電気街 カトリナ・グリーベル、猫足蕾 「うう……これは………」,1,0
スポットストーリー,電気街 連尺野初魅、猫足蕾 「ふむ……連尺野の今…」,1,0
スポットストーリー,電気街 舎人仁花子、猫足蕾 「舎人……！　この辺…」,1,0
スポットストーリー,電気街 萬容、猫足蕾 「あっ、蕾だ。おーい…」,1,0
スポットストーリー,電気街 千寿いろは、猫足蕾 「あれ、あれれ？」,1,0
スポットストーリー,電気街 白丸美兎、猫足蕾 「え、えっと、このシ…」,1,0
スポットストーリー,電気街 阿岐留カミラ、猫足蕾 「よっし！　リハも…」,1,0
スポットストーリー,電気街 猫足蕾、柳場ぱんだ 「今日は風の声が騒が…」,1,0
スポットストーリー,電気街 猫足蕾、流石知冴 「くっ、なんだ……こ…」,1,0
スポットストーリー,電気街 猫足蕾、烏森大黒 「むっ……この気配は…」,1,0
スポットストーリー,電気街 猫足蕾、筆島しぐれ 「まずい……今日はよ…」,1,0
スポットストーリー,電気街 猫足蕾、本巣叶羽 「ん～……むむむ……。」,1,0
スポットストーリー,電気街 猫足蕾、与那国緋花里 「ハイサ～イ！　蕾さ…」,1,0
スポットストーリー,電気街 千寿暦、猫足蕾 「姉千寿、いい機会だ…」,1,0
スポットストーリー,電気街 白丸美兎、阿岐留カミラ、猫足蕾 「み～と～り～ん～。」,1,0
スポットストーリー,電気街 猫足蕾、リリヤ・クルトベイ、ラモーナ・ウォルフ 「空が泣いている……。」,1,0
スポットストーリー,電気街 新妻八恵、猫足蕾、本巣叶羽 「あ、蕾だ。やっほー…」,1,0
スポットストーリー,テーマパーク 柳場ぱんだ、猫足蕾 「猫さんは今日、何食…」,1,0
スポットストーリー,テーマパーク 流石知冴、猫足蕾 「この世ならざる者た…」,1,0
スポットストーリー,テーマパーク 猫足蕾、静香 「はっ、この気配は……」,1,0
スポットストーリー,テーマパーク 本巣叶羽、猫足蕾 「あーあ。人生って…」,1,0
スポットストーリー,テーマパーク 千寿いろは、猫足蕾、本巣叶羽 「こういうところは、…」,1,0
スポットストーリー,テーマパーク 猫足蕾、カトリナ・グリーベル、ラモーナ・ウォルフ 「運気というのは増減…」,1,0
